GW,H,A,Pred Home,Pred Away,Acc Home,Acc Away,A Strength,H Strength,GD/Winner,,Correct pred?,Merit H,Merit A,,Merit2 H,Merit2 A,,,,,,
13,NFO,BHA,1,2,0,2,27,25,-2,,TRUE,-0.03,2.86,,0,2.99,,,,,,
13,WHU,LIV,1,2,0,2,33,20,-2,,TRUE,0.1,2.75,,0,2.99,,,,,,
13,CHE,ARS,1,2,1,1,49,36,0,,,1.4,1.12,,1.02,0.98,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
14,BOU,EVE,2,0,0,1,30,30,-1,,FALSE,0.03,2.97,,0,3,,,,,,
14,FUL,MCI,1,2,4,5,43,34,-1,,TRUE,0.32,3.06,,0.02,3,,,,,,
14,NEW,TOT,2,1,2,2,27,32,0,,,0.93,1.03,,0.99,1.01,,,,,,
14,ARS,BRE,2,0,2,0,33,47,2,,TRUE,3.03,0.4,,3,0.02,,,,,,
14,BHA,AVL,2,1,3,4,43,30,-1,,FALSE,0.32,2.97,,0.02,3,,,,,,
14,BUR,CP,0,2,0,1,25,15,-1,,TRUE,-0.08,2.64,,-0.01,2.98,,,,,,
14,WOL,NFO,1,2,0,1,22,8,-1,,TRUE,-0.14,2.49,,-0.01,2.97,,,,,,
14,LEE,CHE,0,2,3,1,37,23,2,,FALSE,3.12,-0.12,,3.01,-0.01,,,,,,
14,LIV,SUN,1,2,1,1,32,35,0,,,1.03,1.1,,1,1,,,,,,
14,MUN,WHU,2,0,1,1,19,37,0,,,0.75,1.14,,0.98,1.02,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
15,AVL,ARS,1,2,2,1,50,43,1,,FALSE,3.4,0.32,,3.03,0.02,,,,,,
15,BOU,CHE,1,2,0,0,36,29,0,,,1.12,0.97,,1.01,0.99,,,,,,
15,EVE,NFO,2,1,3,0,25,30,3,,TRUE,2.86,0.03,,2.99,0,,,,,,
15,MCI,SUN,2,1,3,0,33,43,3,,TRUE,3.03,0.32,,3,0.02,,,,,,
15,NEW,BUR,2,0,2,1,15,30,1,,TRUE,2.64,0.03,,2.98,0,,,,,,
15,TOT,BRE,0,1,2,0,33,25,2,,FALSE,3.03,-0.08,,3,-0.01,,,,,,
15,LEE,LIV,1,2,3,3,35,25,0,,,1.1,0.88,,1.01,0.99,,,,,,
15,BHA,WHU,2,1,1,1,19,29,0,,,0.75,0.97,,0.99,1.01,,,,,,
15,FUL,CP,0,2,1,2,25,34,-1,,TRUE,-0.08,3.06,,-0.01,3,,,,,,
15,WOL,MUN,1,3,1,4,35,8,-3,,TRUE,0.14,2.49,,0,2.97,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
16,CHE,EVE,2,1,2,0,33,34,2,,TRUE,3.03,0.12,,3,0,,,,,,
16,LIV,BHA,1,2,2,0,30,33,2,,FALSE,2.97,0.1,,3,0,,,,,,
16,BUR,FUL,1,2,2,3,31,15,-1,,TRUE,0.06,2.64,,0,2.98,,,,,,
16,ARS,WOL,3,0,2,1,8,47,1,,TRUE,2.49,0.4,,2.97,0.02,,,,,,
16,CP,MCI,1,2,0,3,43,28,-3,,TRUE,0.32,2.93,,0.02,3,,,,,,
16,NFO,TOT,1,2,3,0,28,22,3,,FALSE,2.93,-0.14,,3,-0.01,,,,,,
16,SUN,NEW,2,1,1,0,33,30,1,,TRUE,3.03,0.03,,3,0,,,,,,
16,WHU,AVL,1,3,2,3,43,20,-1,,TRUE,0.32,2.75,,0.02,2.98,,,,,,
16,BRE,LEE,2,1,1,1,25,32,0,,,0.88,1.03,,0.99,1.01,,,,,,
16,MUN,BOU,2,1,4,4,29,37,0,,,0.97,1.14,,0.99,1.01,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
17,NEW,CHE,1,2,2,2,36,32,0,,,1.12,1.03,,1.01,0.99,,,,,,
17,BOU,BUR,2,1,1,1,14,29,0,,,0.64,0.97,,0.98,1.02,,,,,,
17,BHA,SUN,2,1,0,0,32,29,0,,,1.03,0.97,,1,1,,,,,,
17,MCI,WHU,2,1,3,0,20,43,3,,TRUE,2.75,0.32,,2.99,0.02,,,,,,
17,WOL,BRE,0,2,0,2,30,8,-2,,TRUE,0.03,2.49,,0,2.97,,,,,,
17,TOT,LIV,1,2,1,2,33,28,-1,,TRUE,0.1,2.93,,0,3,,,,,,
17,EVE,ARS,0,2,0,1,47,33,-1,,TRUE,0.4,3.03,,0.02,3,,,,,,
